asset_id,category,sub_category,sub_category_zh,original_filename,svg_currentColor,svg_gold,png_black,png_gold,css_class,github_pages_svg,github_pages_png_gold,frontstage_level
wafo-15-simple-001,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,佛像吊墜圖示,assets/svg/15_wafo_simple_icon/wafo-15-simple-001.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-001.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-001.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-001.png,wafo-simple-icon--001,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-001.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-001.png,A_public
wafo-15-simple-002,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,佛像吊墜設計,assets/svg/15_wafo_simple_icon/wafo-15-simple-002.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-002.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-002.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-002.png,wafo-simple-icon--002,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-002.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-002.png,A_public
wafo-15-simple-003,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,佛像吊飾圖案,assets/svg/15_wafo_simple_icon/wafo-15-simple-003.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-003.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-003.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-003.png,wafo-simple-icon--003,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-003.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-003.png,A_public
wafo-15-simple-004,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,冥想中的佛像吊飾,assets/svg/15_wafo_simple_icon/wafo-15-simple-004.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-004.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-004.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-004.png,wafo-simple-icon--004,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-004.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-004.png,A_public
wafo-15-simple-005,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,冥想中的佛像圖像,assets/svg/15_wafo_simple_icon/wafo-15-simple-005.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-005.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-005.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-005.png,wafo-simple-icon--005,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-005.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-005.png,A_public
wafo-15-simple-006,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,冥想中的佛陀图示,assets/svg/15_wafo_simple_icon/wafo-15-simple-006.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-006.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-006.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-006.png,wafo-simple-icon--006,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-006.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-006.png,A_public
wafo-15-simple-007,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,冥想佛像線條圖示,assets/svg/15_wafo_simple_icon/wafo-15-simple-007.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-007.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-007.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-007.png,wafo-simple-icon--007,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-007.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-007.png,A_public
wafo-15-simple-008,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,禪坐佛像吊飾圖案,assets/svg/15_wafo_simple_icon/wafo-15-simple-008.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-008.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-008.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-008.png,wafo-simple-icon--008,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-008.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-008.png,A_public
wafo-15-simple-009,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,禪定佛像吊飾設計,assets/svg/15_wafo_simple_icon/wafo-15-simple-009.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-009.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-009.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-009.png,wafo-simple-icon--009,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-009.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-009.png,A_public
wafo-15-simple-010,15_wafo_simple_icon,buddhist_amulet_form,佛教本體與佛牌形制,簡約佛像三角吊墜設計,assets/svg/15_wafo_simple_icon/wafo-15-simple-010.svg,assets/svg/15_wafo_simple_icon_gold/wafo-15-simple-010.svg,assets/png512/15_wafo_simple_icon/wafo-15-simple-010.png,assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-010.png,wafo-simple-icon--010,https://bertwang.github.io/wafo-assets/assets/svg/15_wafo_simple_icon/wafo-15-simple-010.svg,https://bertwang.github.io/wafo-assets/assets/png512/15_wafo_simple_icon_gold/wafo-15-simple-010.png,A_public
