asset_id,css_class,category_id,category_slug,category_name,sequence_in_category,source_size,work_size,source_file,source_decoded,clean_png_512,svg_512_tight,webp_original_transparent,webp_background_1920,bg_remove_method,bbox_512_alpha,visible_area_pct_512,svg_path_count,svg_file_chars,review_flags
wafo-00-wafo_core-004,wafo-asset--00-wafo_core-004,00,wafo_core,WAFO Core 核心風格測試,4,960x960,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/2ba32ee7-06bc-4efa-82f7-ebabb3640593.png,00_WAFO_Core_核心風格測試/2ba32ee7-06bc-4efa-82f7-ebabb3640593.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-004.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-004.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-004.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-004-bg1920.webp,v2_fast_clean_then_svg,"12,12,500,500",89.642,54,3613,very_large_visible_area
wafo-00-wafo_core-008,wafo-asset--00-wafo_core-008,00,wafo_core,WAFO Core 核心風格測試,8,626x626,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/45dca912-5904-461e-9f51-209de0ea416c.png,00_WAFO_Core_核心風格測試/45dca912-5904-461e-9f51-209de0ea416c.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-008.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-008.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-008.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-008-bg1920.webp,v2_fast_clean_then_svg,"37,12,475,500",67.123,125,8681,very_large_visible_area
wafo-00-wafo_core-016,wafo-asset--00-wafo_core-016,00,wafo_core,WAFO Core 核心風格測試,16,1536x1024,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/8f57e2c3-4fc0-433a-a7f4-07a19564ba04.png,00_WAFO_Core_核心風格測試/8f57e2c3-4fc0-433a-a7f4-07a19564ba04.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-016.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-016.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-016.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-016-bg1920.webp,v2_fast_clean_then_svg,"15,93,497,421",17.484,291,24726,complex_svg_many_paths
wafo-00-wafo_core-017,wafo-asset--00-wafo_core-017,00,wafo_core,WAFO Core 核心風格測試,17,980x980,max512,00_WAFO_Core_#U6838#U5fc3#U98a8#U683c#U6e2c#U8a66/9eef8f4a-4057-4dd8-b874-18b2c881171d.png,00_WAFO_Core_核心風格測試/9eef8f4a-4057-4dd8-b874-18b2c881171d.png,01_clean_png_512_transparent/00_wafo_core/wafo-00-wafo_core-017.png,02_svg_512_tight_currentColor/00_wafo_core/wafo-00-wafo_core-017.svg,03_webp_original_transparent_q86/00_wafo_core/wafo-00-wafo_core-017.webp,04_webp_background_1920x1080/00_wafo_core/wafo-00-wafo_core-017-bg1920.webp,v2_fast_clean_then_svg,"12,12,500,500",90.845,1,236,very_large_visible_area
wafo-01-yantra-003,wafo-asset--01-yantra-003,01,yantra,Yantra 法刺符咒,3,1254x1254,max512,01_Yantra_#U6cd5#U523a#U7b26#U5492/#U6cf0#U5f0f#U795e#U8056#U9cc4#U9b5a#U5716#U6848.png,01_Yantra_法刺符咒/泰式神聖鳄魚圖案.png,01_clean_png_512_transparent/01_yantra/wafo-01-yantra-003.png,02_svg_512_tight_currentColor/01_yantra/wafo-01-yantra-003.svg,03_webp_original_transparent_q86/01_yantra/wafo-01-yantra-003.webp,04_webp_background_1920x1080/01_yantra/wafo-01-yantra-003-bg1920.webp,v2_fast_clean_then_svg,"131,14,380,498",16.183,294,19723,complex_svg_many_paths
wafo-01-yantra-005,wafo-asset--01-yantra-005,01,yantra,Yantra 法刺符咒,5,1254x1254,max512,01_Yantra_#U6cd5#U523a#U7b26#U5492/#U795e#U8056#U6cf0#U5f0f#U7b26#U5492#U8a2d#U8a08.png,01_Yantra_法刺符咒/神聖泰式符咒設計.png,01_clean_png_512_transparent/01_yantra/wafo-01-yantra-005.png,02_svg_512_tight_currentColor/01_yantra/wafo-01-yantra-005.svg,03_webp_original_transparent_q86/01_yantra/wafo-01-yantra-005.webp,04_webp_background_1920x1080/01_yantra/wafo-01-yantra-005-bg1920.webp,v2_fast_clean_then_svg,"12,12,500,500",34.202,813,67036,complex_svg_many_paths
wafo-02-deity_guardian-001,wafo-asset--02-deity_guardian-001,02,deity_guardian,Deity Guardian 天神護法神獸,1,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U4f5b#U6559#U795e#U50cf#U5716#U50cf.png,02_Deity_Guardian_天神護法神獸/佛教神像圖像.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-001.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-001.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-001.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-001-bg1920.webp,v2_fast_clean_then_svg,"89,14,423,498",21.547,347,22023,complex_svg_many_paths
wafo-02-deity_guardian-002,wafo-asset--02-deity_guardian-002,02,deity_guardian,Deity Guardian 天神護法神獸,2,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U51a5#U60f3#U4e2d#U7684#U667a#U8005#U795e#U50cf.png,02_Deity_Guardian_天神護法神獸/冥想中的智者神像.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-002.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-002.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-002.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-002-bg1920.webp,v2_fast_clean_then_svg,"110,14,401,498",16.553,260,24088,complex_svg_many_paths
wafo-02-deity_guardian-003,wafo-asset--02-deity_guardian-003,02,deity_guardian,Deity Guardian 天神護法神獸,3,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U541e#U65e5#U795e#U50cf#U5716#U9a30.png,02_Deity_Guardian_天神護法神獸/吞日神像圖騰.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-003.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-003.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-003.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-003-bg1920.webp,v2_fast_clean_then_svg,"25,14,487,498",23.49,501,27303,complex_svg_many_paths
wafo-02-deity_guardian-004,wafo-asset--02-deity_guardian-004,02,deity_guardian,Deity Guardian 天神護法神獸,4,1254x1254,max512,02_Deity_Guardian_#U5929#U795e#U8b77#U6cd5#U795e#U7378/#U56db#U9762#U795e#U50cf#U7684#U5178#U96c5#U8f2a#U5ed3.png,02_Deity_Guardian_天神護法神獸/四面神像的典雅輪廓.png,01_clean_png_512_transparent/02_deity_guardian/wafo-02-deity_guardian-004.png,02_svg_512_tight_currentColor/02_deity_guardian/wafo-02-deity_guardian-004.svg,03_webp_original_transparent_q86/02_deity_guardian/wafo-02-deity_guardian-004.webp,04_webp_background_1920x1080/02_deity_guardian/wafo-02-deity_guardian-004-bg1920.webp,v2_fast_clean_then_svg,"66,15,445,497",20.358,427,25064,complex_svg_many_paths
